id,device_id,name,data_type,reg_type,start_addr,byte_addr,bit_addr,data_len,intervals,decimals,byte_order,access_type,min_spval,max_spval,data,var_id,status,remark
1289397038446088192,3,温度2,Analog,HoldingRegister,262,0,0,2,100,2,BigEndian,R,819,4095,N/A,1289491247358349312,enabled,N/A
1289494471700189184,3,压力,Analog,HoldingRegister,257,0,0,2,100,2,BigEndian,R,819,4095,-989.01,1289491225648631808,enabled,N/A
1289494570232778752,3,流速,Analog,HoldingRegister,258,0,0,2,100,2,BigEndian,R,819,4095,13.53,1289491241968668672,enabled,N/A
1289494579191812096,3,湿度,Analog,HoldingRegister,259,0,0,2,100,2,BigEndian,R,819,4095,17.95,1289491244720132096,enabled,N/A
1290102534383669248,3,温度,Analog,HoldingRegister,256,0,0,2,100,2,BigEndian,R,819,4095,27.38,1282940224061902848,enabled,N/A
1290111079976079360,4,总烃,Analog,HoldingRegister,252,0,0,4,100,2,BigEndian,R,819,4095,2.13,1289491627160965120,enabled,N/A
1290111377696165888,4,甲烷,Analog,HoldingRegister,352,0,0,4,100,2,BigEndian,R,819,4095,1.38,1289491653526360064,enabled,N/A
1292720539219333120,4,苯,Analog,HoldingRegister,10252,0,0,4,100,2,BigEndian,R,819,4095,-0.45,1289491748200189952,enabled,N/A
1292721206092697600,4,甲苯,Analog,HoldingRegister,10352,0,0,4,100,2,BigEndian,R,819,4095,-0.1,1289491754965602304,enabled,N/A
1292721516316004352,4,二甲苯,Analog,HoldingRegister,10452,0,0,4,100,2,BigEndian,R,819,4095,0,1289492024252502016,enabled,N/A
1293036901443637248,4,非甲烷总烃,Analog,Complex,0,0,0,0,0,2,BigEndian,R,819,4095,0.75,1293423842395754496,enabled,N/A
1293459220620185600,4,苯系物,Analog,Complex,0,0,0,0,0,2,BigEndian,R,819,4095,0.55,1293458723649687552,enabled,N/A
1293785577594097664,3,小时流量,Analog,Complex,0,0,0,0,0,0,BigEndian,R,819,4095,24471,1293796644223258624,enabled,N/A
1305390540401217536,3,流速2,Analog,HoldingRegister,260,0,0,2,100,2,BigEndian,R,819,4095,0,1305390259936497664,enabled,N/A